9828	country	125
12968	eat	125
24171	mine	125
25428	neither	125
27530	passions	125
25161	name	124
34403	sleep	124
22395	lives	122
40292	wine	122
5950	bodies	121
18740	idle	121
23491	matter	121
26630	opinion	121
11765	die	120
12948	earth	120
15983	found	120
6704	call	119
16503	galen	119
18835	ill	119
25594	nihil	119
26219	observes	119
36718	tell	119
6308	brought	118
22222	light	117
22545	lord	117
23227	manner	117
24592	money	117
28529	physicians	117
31313	ready	117
35169	st	117
37293	thyself	117
23964	merry	116
37220	thousand	116
5499	believe	115
7029	cares	115
11774	diet	115
32382	rome	115
34097	side	115
7827	church	114
16935	gives	114
24110	mihi	114
25753	none	114
7121	case	113
13908	esse	113
25304	ne	113
38339	under	113
12752	dry	112
15138	fellow	112
24352	miseries	112
33663	sense	112
5361	beasts	111
16933	given	111
26535	omnes	111
28836	plato	111
36425	symbol	111
37283	thus	111
15275	few	110
18369	honour	110
21899	left	110
23233	mans	109
29956	proceed	109
36669	te	109
37218	thought	109
1778	able	108
2960	alexander	108
18273	hoc	108
21136	jupiter	108
21849	least	108
28971	plutarch	108
29006	poet	108
29853	princes	108
38749	vain	108
40411	work	108
118	11	106
35493	strange	106
231	12	105
9803	counsel	105
14070	even	105
17694	happy	105
23354	marry	105
25381	needs	105
26955	ourselves	105
31708	religion	105
16148	friend	104
21289	kings	104
22392	liver	104
24821	mother	104
26108	objects	104
29920	pro	104
5022	avoid	103
14707	face	103
17576	haec	103
33534	seek	103
7014	care	102
9827	countries	102
15963	fortunes	102
22630	lucian	102
24395	mistress	102
26418	off	102
40408	word	102
40429	worse	102
14995	father	101
22587	loves	101
25672	noble	101
16694	general	100
17841	heat	100
22202	lie	100
34031	show	100
34067	sic	100
567	15	99
10725	dead	99
15991	four	99
23762	memb	99
35809	subs	99
37455	told	99
13502	endure	98
19729	infinite	98
32567	run	98
35624	study	98
40064	wealth	98
40281	wind	98
40362	wives	98
12956	ease	97
15775	fools	97
18014	hercules	97
23078	malady	97
39521	violent	97
40418	works	97
15741	follow	96
20861	jealousy	96
37169	thine	96
37178	third	96
38013	tully	96
12027	discontent	95
12922	each	95
21045	judgment	95
25046	music	95
31024	quis	95
38094	turn	95
16697	generally	94
34250	since	94
34257	sine	94
39596	virtue	94
3418	amor	93
29405	power	93
32748	sake	93
35438	stomach	93
35567	strong	93
38948	vel	93
40237	whose	93
2126	actions	92
17654	hand	92
17814	health	92
17824	heard	92
22031	less	92
27581	patient	92
33454	second	92
35925	sudden	92
752	18	91
5274	base	91
16039	france	91
15747	folly	90
18210	hippocrates	90
34599	sole	90
40156	whatsoever	90
344	13	89
6442	business	89
17139	grace	89
21392	labour	89
22253	likewise	89
25314	near	89
29905	private	89
34905	species	89
35239	stars	89
7270	causeth	88
14098	evil	88
18021	here	88
27448	particular	88
10621	dance	87
11223	democritus	87
14842	fall	87
16113	frequent	87
17075	gone	87
28453	philosophers	87
31034	quite	87
7784	christ	86
14144	examples	86
14665	eye	86
7548	chance	85
11124	delight	85
13098	effects	85
13536	enim	85
24658	moon	85
36147	superstition	85
6055	born	84
8519	comfort	84
17279	greater	84
19491	indeed	84
20735	italy	84
21282	kinds	84
22586	lovers	84
24332	miserable	84
27120	pain	84
28170	person	84
34088	sickness	84
40134	went	84
40356	wits	84
40437	worth	84
679	16	83
18118	hic	83
21851	leave	83
25130	myself	83
33467	sect	83
9966	creatures	82
10704	daughter	82
14178	except	82
15961	fortune	82
21568	land	82
26280	occasion	82
26537	omnia	82
31677	relates	82
6036	books	81
11469	despair	81
14911	famous	81
16645	gave	81
18082	herself	81
18305	home	81
22562	loss	81
23629	medicines	81
27892	people	81
33140	scarce	81
37502	took	81
40485	written	81
2187	adds	80
4292	aristotle	80
13924	estate	80
17839	hearts	80
23590	med	80
25373	need	80
1808	abroad	79
4939	author	79
5688	between	79
10374	cures	79
13719	epist	79
15387	fine	79
18501	houses	79
38870	variety	79
6252	bring	78
8959	confess	78
12038	discourse	78
13095	effect	78
14466	experience	78
14892	familiar	78
17746	hast	78
26075	ob	78
30216	proper	78
32004	respect	78
33823	serve	78
34244	sin	78
34812	sort	78
35045	spirit	78
2653	affections	77
5804	bitter	77
5886	blind	77
14301	exercise	77
17291	greek	77
17861	heavy	77
21248	kept	77
25629	nisi	77
29850	prince	77
32679	sad	77
40314	wisdom	77
40442	worthy	77
7082	carried	76
9373	content	76
15058	fearful	76
18733	idem	76
24638	montanus	76
27366	parents	76
31767	remedy	76
35217	stand	76
37219	thoughts	76
38225	ubi	76
21798	laws	75
23924	mere	75
26586	open	75
26971	outward	75
32157	rhasis	75
33682	sent	75
34060	sibi	75
1909	ac	74
7266	caused	74
12920	e	74
17083	goods	74
23347	married	74
24634	montaltus	74
25991	nunc	74
32231	ridiculous	74
34555	socrates	74
35473	story	74
36534	takes	74
36559	tam	74
1872	absurd	73
4689	atque	73
5507	belike	73
7704	child	73
12624	doubt	73
20292	inter	73
21765	laurentius	73
25535	next	73
31040	quo	73
36281	suspicion	73
37176	thinks	73
37943	trouble	73
40228	wholly	73
5705	beyond	72
18516	howsoever	72
40188	whilst	72
9421	continual	71
13400	emperor	71
20858	jealous	71
21688	late	71
34297	sins	71
3969	appetite	70
15132	fell	70
18324	hominum	70
21844	learning	70
40332	wit	70
3145	alter	69
3578	anger	69
10710	david	69
15768	fool	69
17692	happiness	69
18913	imagination	69
21748	laugh	69
23023	maid	69
23345	marriage	69
23559	mean	69
23576	meats	69
28874	please	69
31086	quum	69
31763	remedies	69
36156	superstitious	69
5352	bear	68
