"id","zodis","skaicius"
404,"1353",1
405,"1354",1
406,"1355",1
407,"1356",1
408,"1357",1
409,"1358",1
410,"1359",1
411,"136",2
412,"1360",1
413,"1361",1
414,"1362",1
415,"1363",1
416,"1364",1
417,"1365",1
418,"1366",1
419,"1367",1
420,"1368",1
421,"1369",1
422,"137",4
423,"1370",1
424,"1371",1
425,"1372",1
426,"1373",1
427,"1374",1
428,"1375",1
429,"1376",1
430,"1377",1
431,"1378",1
432,"1379",1
433,"138",1
434,"1380",1
435,"1381",1
436,"1382",1
437,"1383",1
438,"1384",1
439,"1385",1
440,"1386",2
441,"1387",1
442,"1388",1
443,"1389",1
444,"139",1
445,"1390",1
446,"1391",1
447,"1392",2
448,"1393",1
449,"1394",1
450,"1395",1
451,"1396",1
452,"1397",1
453,"1398",1
454,"1399",1
455,"13th",1
456,"14",66
457,"140",6
458,"1400",1
459,"1401",1
460,"1402",1
461,"1403",1
462,"1404",1
463,"1405",1
464,"1406",1
465,"1407",1
466,"1408",1
467,"1409",1
468,"141",2
469,"1410",1
470,"1411",1
471,"1412",1
472,"1413",1
473,"1414",1
474,"1415",1
475,"1416",1
476,"1417",1
477,"1418",1
478,"1419",2
479,"142",3
480,"1420",1
481,"1421",2
482,"1422",1
483,"1423",1
484,"1424",1
485,"1425",1
486,"1426",1
487,"1427",1
488,"1428",1
489,"1429",1
490,"143",1
491,"1430",1
492,"1431",1
493,"1432",1
494,"1433",1
495,"1434",1
496,"1435",1
497,"1436",1
498,"1437",1
499,"1438",1
500,"1439",1
501,"144",2
502,"1440",1
503,"1441",1
504,"1442",1
505,"1443",1
506,"1444",1
507,"1445",1
508,"1446",1
509,"1447",1
510,"1448",1
511,"1449",1
512,"145",2
513,"1450",1
514,"1451",1
515,"1452",1
516,"1453",2
517,"1454",1
518,"1455",1
519,"1456",1
520,"1457",1
521,"1458",1
522,"1459",1
523,"146",1
524,"1460",3
525,"1461",1
526,"1462",1
527,"1463",1
528,"1464",1
529,"1465",1
530,"1466",1
531,"1467",1
532,"1468",1
533,"1469",1
534,"147",2
535,"1470",1
536,"1471",1
537,"1472",1
538,"1473",1
539,"1474",1
540,"1475",1
541,"1476",2
542,"1477",1
543,"1478",1
544,"1479",1
545,"148",4
546,"1480",1
547,"1481",1
548,"1482",1
549,"1483",1
550,"1484",2
551,"1485",1
552,"1486",1
553,"1487",1
554,"1488",1
555,"1489",1
556,"149",2
557,"1490",1
558,"1491",2
559,"1492",1
560,"1493",1
561,"1494",1
562,"1495",1
563,"1496",1
564,"1497",1
565,"1498",1
566,"1499",1
567,"15",99
568,"150",3
569,"1500",2
570,"1501",1
571,"1502",1
572,"1503",1
573,"1504",2
574,"1505",1
575,"1506",1
576,"1507",1
577,"1508",1
578,"1509",1
579,"151",1
580,"1510",1
581,"1511",1
582,"1512",1
583,"1513",1
584,"1514",1
585,"1515",1
586,"1516",1
587,"1517",1
588,"1518",2
589,"1519",1
590,"152",1
591,"1520",1
592,"1521",1
593,"1522",1
594,"1523",1
595,"1524",1
596,"1525",1
597,"1526",1
598,"1527",2
599,"1528",1
600,"1529",1
601,"153",1
602,"1530",1
603,"1531",1
604,"1532",1
605,"1533",1
606,"1534",1
607,"1535",1
608,"1536",1
609,"1537",1
610,"1538",3
611,"1539",1
612,"154",3
613,"1540",1
614,"1541",2
615,"1542",1
616,"1543",1
617,"1544",1
618,"1545",2
619,"1546",1
620,"1547",1
621,"1548",1
622,"1549",2
623,"155",2
624,"1550",2
625,"1551",2
626,"1552",1
627,"1553",2
628,"1554",2
629,"1555",1
630,"1556",1
631,"1557",1
632,"1558",1
633,"1559",1
634,"156",1
635,"1560",1
636,"1561",1
637,"1562",1
638,"1563",1
639,"1564",1
640,"1565",1
641,"1566",1
642,"1567",1
643,"1568",1
644,"1569",1
645,"157",1
646,"1570",1
647,"1571",2
648,"1572",3
649,"1573",1
650,"1574",1
651,"1575",2
652,"1576",3
653,"1577",1
654,"1578",1
655,"1579",1
656,"158",1
657,"1580",3
658,"1581",1
659,"1582",2
660,"1583",2
661,"1584",1
662,"1585",1
663,"1586",1
664,"1587",1
665,"1588",2
666,"1589",1
667,"159",1
668,"1590",1
669,"1591",2
670,"1592",1
671,"1593",3
672,"1594",2
673,"1595",1
