"zodis","total","singular","singular.num","plural","plural.num"
"commonly",203,"",0,"",0
"nec",200,"",0,"",0
"quae",200,"",0,"",0
"meat",197,"meat",128,"meats",69
"might",196,"",0,"",0
"physic",196,"",0,"",0
"beauty",195,"",0,"",0
"put",195,"",0,"",0
"three",195,"",0,"",0
"disease",194,"",0,"",0
"cum",193,"",0,"",0
"ever",193,"",0,"",0
"years",192,"",0,"",0
"matter",190,"matter",122,"matters",68
"taken",190,"",0,"",0
"water",190,"",0,"",0
"often",189,"",0,"",0
"sweet",189,"",0,"",0
"used",189,"",0,"",0
"wise",189,"",0,"",0
"beside",188,"beside",22,"besides",166
"far",188,"",0,"",0
"blood",185,"",0,"",0
"hot",185,"",0,"",0
"pleasant",185,"",0,"",0
"thought",185,"thought",109,"thoughts",76
"pleasure",183,"pleasure",129,"pleasures",54
"sorrow",182,"",0,"",0
"subject",182,"",0,"",0
"desire",181,"",0,"",0
"set",181,"",0,"",0
"cure",178,"",0,"",0
"end",178,"",0,"",0
"rich",177,"",0,"",0
"almost",174,"",0,"",0
"down",174,"",0,"",0
"drink",174,"",0,"",0
"madness",174,"",0,"",0
"speak",174,"",0,"",0
"came",173,"",0,"",0
"once",173,"",0,"",0
"present",173,"",0,"",0
"fire",168,"",0,"",0
"look",168,"",0,"",0
"especially",167,"",0,"",0
"ordinary",167,"",0,"",0
"hear",166,"",0,"",0
"sit",166,"",0,"",0
"hope",163,"",0,"",0
"woman",162,"",0,"",0
"heaven",161,"",0,"",0
"together",160,"",0,"",0
"days",159,"",0,"",0
"new",159,"",0,"",0
"se",159,"",0,"",0
"grief",158,"grief",136,"griefs",22
"fellow",157,"fellow",112,"fellows",45
"keep",157,"",0,"",0
"whole",157,"",0,"",0
"ex",156,"",0,"",0
"hard",156,"",0,"",0
"sunt",156,"",0,"",0
"natural",155,"",0,"",0
"places",155,"",0,"",0
"rather",155,"",0,"",0
"whether",155,"",0,"",0
"persons",154,"",0,"",0
"consil",153,"",0,"",0
"gods",153,"",0,"",0
"manner",153,"manner",118,"manners",35
"sight",153,"",0,"",0
"excellent",152,"",0,"",0
"free",152,"",0,"",0
"misery",152,"",0,"",0
"quid",152,"",0,"",0
"sea",152,"",0,"",0
"honest",151,"",0,"",0
"brain",149,"",0,"",0
"else",149,"",0,"",0
